id,listing_url,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,review_scores_rating,review_scores_value
1114718024366461616,https://www.airbnb.com/rooms/1114718024366461616,Freguesia (Jacarepaguá),-22.92839952979007,-43.34186695613416,Private room,2,0.5,1.0,1.0,209.0,3.0,3.0
1065428547950282661,https://www.airbnb.com/rooms/1065428547950282661,Barra da Tijuca,-23.00907,-43.42656,Private room,2,1.0,1.0,1.0,120.0,5.0,5.0
708094138581549850,https://www.airbnb.com/rooms/708094138581549850,Glória,-22.9197244,-43.1787769,Entire home/apt,5,1.0,1.0,3.0,103.0,4.89,4.84
1085595803227047171,https://www.airbnb.com/rooms/1085595803227047171,Barra da Tijuca,-22.9883631429195,-43.3638920634985,Entire home/apt,2,1.0,1.0,1.0,291.0,4.84,4.84
953409,https://www.airbnb.com/rooms/953409,Flamengo,-22.92864,-43.17583,Entire home/apt,3,1.0,1.0,3.0,171.0,4.83,4.65
1297223803078097035,https://www.airbnb.com/rooms/1297223803078097035,Urca,-22.9459948,-43.1618647,Entire home/apt,5,1.0,2.0,2.0,428.0,5.0,5.0
883489503081635177,https://www.airbnb.com/rooms/883489503081635177,Copacabana,-22.96374602762073,-43.18061018629093,Entire home/apt,4,1.0,1.0,3.0,225.0,5.0,4.86
1105076020854574471,https://www.airbnb.com/rooms/1105076020854574471,Copacabana,-22.96911,-43.18215,Entire home/apt,4,1.0,1.0,2.0,426.0,5.0,5.0
1351448301348858204,https://www.airbnb.com/rooms/1351448301348858204,Catumbi,-22.920829345975378,-43.198227727353576,Entire home/apt,4,1.0,1.0,1.0,380.0,,
14282692,https://www.airbnb.com/rooms/14282692,Tijuca,-22.921611785888672,-43.21779251098633,Entire home/apt,6,1.0,2.0,6.0,533.0,4.43,4.29
811530219704196709,https://www.airbnb.com/rooms/811530219704196709,Barra da Tijuca,-23.002715,-43.4268016,Entire home/apt,4,2.0,2.0,2.0,725.0,5.0,4.82
1701579,https://www.airbnb.com/rooms/1701579,Barra da Tijuca,-23.00613,-43.37868,Entire home/apt,4,2.0,1.0,1.0,404.0,5.0,4.8
1211558118819668602,https://www.airbnb.com/rooms/1211558118819668602,Copacabana,-22.9682328,-43.186656,Private room,2,1.0,1.0,2.0,166.0,4.83,4.75
697139349870715144,https://www.airbnb.com/rooms/697139349870715144,Copacabana,-22.9819672,-43.1908379,Entire home/apt,6,2.0,2.0,3.0,750.0,4.84,4.84
22927640,https://www.airbnb.com/rooms/22927640,Barra da Tijuca,-23.00527,-43.35918,Private room,3,1.0,1.0,1.0,365.0,4.74,4.72
1433680394159529268,https://www.airbnb.com/rooms/1433680394159529268,Copacabana,-22.97204676417548,-43.187843419049074,Entire home/apt,2,1.0,0.0,1.0,170.0,5.0,5.0
1412645588160791829,https://www.airbnb.com/rooms/1412645588160791829,Centro,-22.9085651,-43.177743,Entire home/apt,4,2.0,2.0,2.0,215.0,5.0,5.0
1358974430483372191,https://www.airbnb.com/rooms/1358974430483372191,Copacabana,-22.96301,-43.19005,Entire home/apt,2,1.0,1.0,1.0,193.0,4.25,3.33
14229286,https://www.airbnb.com/rooms/14229286,Catete,-22.92763,-43.17955,Entire home/apt,4,1.5,2.0,3.0,515.0,4.78,4.22
1184337154221692513,https://www.airbnb.com/rooms/1184337154221692513,Recreio dos Bandeirantes,-23.02936,-43.47728,Entire home/apt,2,1.0,1.0,1.0,177.0,,
1229586444053581193,https://www.airbnb.com/rooms/1229586444053581193,Vargem Pequena,-22.97885399803877,-43.45357270619392,Entire home/apt,8,4.0,2.0,4.0,952.0,,
786913453609931684,https://www.airbnb.com/rooms/786913453609931684,Copacabana,-22.982970559600343,-43.1920104141649,Entire home/apt,4,2.0,2.0,3.0,315.0,4.7,4.74
884204408650965150,https://www.airbnb.com/rooms/884204408650965150,Copacabana,-22.985821,-43.1898476,Private room,2,1.0,1.0,1.0,171.0,4.83,4.76
1416854317854954548,https://www.airbnb.com/rooms/1416854317854954548,Copacabana,-22.96468,-43.19214,Entire home/apt,4,1.0,1.0,1.0,307.0,,
1227008130890166209,https://www.airbnb.com/rooms/1227008130890166209,Camorim,-22.981167924076946,-43.42365508768077,Entire home/apt,4,1.0,1.0,2.0,809.0,5.0,5.0
24393697,https://www.airbnb.com/rooms/24393697,Botafogo,-22.95515,-43.18,Entire home/apt,2,1.0,1.0,2.0,187.0,4.71,4.69
1266755845606220638,https://www.airbnb.com/rooms/1266755845606220638,Santa Cruz,-22.9503588,-43.6440387,Entire home/apt,3,1.0,2.0,2.0,119.0,4.83,4.78
1354378579493628903,https://www.airbnb.com/rooms/1354378579493628903,Copacabana,-22.97225264370892,-43.18968346245548,Entire home/apt,5,2.0,3.0,4.0,1032.0,,
1048799862968512446,https://www.airbnb.com/rooms/1048799862968512446,Itanhangá,-22.97399233558513,-43.32594370259476,Entire home/apt,4,2.0,2.0,2.0,255.0,,
41775909,https://www.airbnb.com/rooms/41775909,Campo Grande,-22.89786,-43.55149,Entire home/apt,4,1.0,2.0,2.0,231.0,5.0,4.79
1303556845356807592,https://www.airbnb.com/rooms/1303556845356807592,Vargem Pequena,-22.992909797026314,-43.435524478554726,Private room,3,1.0,1.0,2.0,120.0,5.0,5.0
1242858745795838842,https://www.airbnb.com/rooms/1242858745795838842,Recreio dos Bandeirantes,-23.027257414798303,-43.48752058708387,Private room,1,1.5,1.0,1.0,188.0,,
1294175578543692952,https://www.airbnb.com/rooms/1294175578543692952,Méier,-22.9014096,-43.2747331,Entire home/apt,10,1.5,4.0,6.0,300.0,,
1283608574316303051,https://www.airbnb.com/rooms/1283608574316303051,Centro,-22.8996218,-43.1787255,Entire home/apt,6,1.0,0.0,4.0,502.0,5.0,5.0
1119542886048049933,https://www.airbnb.com/rooms/1119542886048049933,Copacabana,-22.9638551,-43.1770138,Private room,2,1.0,1.0,1.0,190.0,5.0,4.93
33565001,https://www.airbnb.com/rooms/33565001,Ipanema,-22.98494,-43.20642,Entire home/apt,4,1.5,1.0,2.0,275.0,4.57,4.21
1417545331686219713,https://www.airbnb.com/rooms/1417545331686219713,Copacabana,-22.9729171,-43.1884229,Entire home/apt,4,1.0,1.0,1.0,230.0,,
1070238932750568154,https://www.airbnb.com/rooms/1070238932750568154,Itanhangá,-22.98920391156724,-43.29742021858692,Private room,2,1.0,0.0,1.0,72.0,5.0,5.0
13388501,https://www.airbnb.com/rooms/13388501,Paquetá,-22.765,-43.10673,Private room,2,1.0,4.0,4.0,300.0,5.0,4.96
1239179311617269454,https://www.airbnb.com/rooms/1239179311617269454,Anil,-22.95416,-43.34845,Private room,1,1.0,1.0,1.0,207.0,,
556607464081076794,https://www.airbnb.com/rooms/556607464081076794,Copacabana,-22.982574,-43.192307,Entire home/apt,2,1.0,1.0,1.0,187.0,4.78,4.78
